Invisibility Purge	Purga de invisibilidad	Te rodea una esfera de poder de 5 pies por nivel de radio que anula toda invisibilidad. Todo lo invisible se vuelve visible dentro del área.
Invisibility Sphere	Esfera de invisibilidad	Funciona como invisibilidad, salvo que concede invisibilidad a todas las criaturas dentro de 10 pies del receptor cuando se lanza el conjuro. El centro del efecto se mueve con el receptor. Los afectados se ven entre sí y se ven a sí mismos con normalidad. Toda criatura afectada que salga del área se vuelve visible; las que entren después no se vuelven invisibles. Las criaturas afectadas, salvo el receptor, solo anulan su propia invisibilidad si atacan. Si el receptor ataca, la esfera termina.
Iron Body	Cuerpo de hierro	Transforma tu cuerpo en hierro viviente y te concede varias resistencias y capacidades poderosas. Obtienes reducción de daño 15/adamantine; eres inmune a ceguera, golpes críticos, daño a características, sordera, enfermedad, ahogamiento, electricidad, veneno, aturdimiento y a los conjuros o ataques que afecten tu fisiología o respiración, porque no tienes fisiología ni respiración mientras el conjuro dura. Sufres solo la mitad del daño de ácido y fuego. También te vuelves vulnerable a los ataques especiales que afectan a los gólems de hierro. Obtienes una bonificación de mejora de +6 a Fuerza, pero sufres una penalización de -6 a Destreza.
Ironwood	Madera de hierro	La madera de hierro es una sustancia mágica creada por druidas a partir de madera normal. Aunque sigue siendo madera natural en casi todos los aspectos, es tan fuerte, pesada y resistente al fuego como el acero. Los conjuros que afectan al metal o al hierro no funcionan sobre ella; los conjuros que afectan a la madera sí, aunque la madera de hierro no arde. Usado junto con wood shape o con una prueba de Artesanía relacionada con la madera, permite fabricar objetos de madera que funcionan como objetos de acero. Así, pueden crearse armaduras de placas y espadas de madera tan duraderas como sus equivalentes de acero. Estos objetos pueden usarlos libremente los druidas. Además, si fabricas solo la mitad de la cantidad de madera de hierro que permitiría el conjuro, cualquier arma, escudo o armadura hecha con ella gana las propiedades del acero sin dejar de ser de madera.
Irresistible Dance	Danza irresistible	El objetivo siente un impulso irrefrenable de bailar y comienza a hacerlo, moviendo los pies y dando brincos sin poder hacer otra cosa. El efecto le impide actuar salvo para retozar y saltar en el sitio. Sufre una penalización de -4 a la CA y de -10 a las tiradas de Reflejos, y anula cualquier bonificación a la CA otorgada por el escudo que lleve. El sujeto que baila provoca ataques de oportunidad en cada asalto durante su turno. Una salvación de Voluntad con éxito reduce la duración del efecto a 1 asalto.
Jump	Salto	El objetivo obtiene una bonificación de mejora de +10 a las pruebas de Acrobacias para saltos de altura o de longitud. La bonificación aumenta a +20 en el nivel de lanzador 5 y a +30, el máximo, en el nivel de lanzador 9.
Keen Edge	Filo agudo	Este conjuro vuelve mágicamente aguda una arma y mejora su capacidad para asestar golpes decisivos. Esta transmutación duplica el margen de amenaza del arma: un 20 pasa a 19-20, un 19-20 pasa a 17-20 y un 18-20 pasa a 15-20. Solo puede lanzarse sobre armas perforantes o cortantes. Si se lanza sobre flechas o virotes de ballesta, el efecto termina tras un uso, impacte o no el proyectil. Los shuriken se tratan como flechas a efectos de este conjuro. Los efectos que aumentan el margen de amenaza no se acumulan entre sí.
Knock	Abrir	Abre puertas atascadas, cerradas con tranca o con llave, así como las afectadas por hold portal o arcane lock. Al completar el lanzamiento, realiza una prueba de nivel de lanzador contra la CD de la cerradura con un bonificador de +10. Si tiene éxito, knock abre hasta dos medios de cierre. El conjuro también abre puertas secretas y cajas o cofres cerrados con llave o de apertura por trampa, y afloja soldaduras, grilletes o cadenas, siempre que sirvan para mantener algo cerrado. Si se usa sobre una puerta con arcane lock, no elimina el efecto sino que suspende su funcionamiento durante 10 minutos.
Know Direction	Conocer dirección	Al lanzar este conjuro, sabes de inmediato dónde está el norte desde tu posición actual. Funciona en cualquier entorno donde exista un norte, aunque puede no funcionar en contextos extraplanares. Tu conocimiento del norte es correcto en el momento del lanzamiento, pero puedes volver a desorientarte en pocos instantes si no encuentras un punto de referencia externo.
Legend Lore	Saber legendario	Saber legendario trae a tu mente leyendas sobre una persona, lugar o cosa importante. Si la persona o el objeto está delante de ti, o si te encuentras en el lugar en cuestión, el tiempo de lanzamiento es solo 1d4 x 10 minutos. Si solo dispones de información detallada sobre la persona, lugar o cosa, el tiempo de lanzamiento es de 1d10 días y el saber obtenido es menos completo y específico, aunque a menudo basta para ayudarte a encontrar lo que buscas. Si solo conoces rumores, el tiempo de lanzamiento es de 2d6 semanas y el saber resultante es vago e incompleto, aunque a menudo te dirige hacia información más detallada.
