"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Righteous Might","transmutation","","","cleric/oracle 5, inquisitor 5","1 standard action","V, S, DF","0","personal","","","you","1 round/level","1","0","","","Your height immediately doubles, and your weight increases by a factor of eight. This increase changes your size category to the next larger one. You gain a +4 size bonus to Strength and Constitution and take a -2 penalty to your Dexterity. You gain a +2 enhancement bonus to your natural armor. You gain DR 5/ evil (if you normally channel positive energy) or DR 5/good (if you normally channel negative energy). At 15th level, this DR becomes 10/evil or 10/good (the maximum). Your size modifier for AC and attacks changes as appropriate to your new size category. This spell doesn't change your speed. Determine space and reach as appropriate to your new size.  If insufficient room is available for the desired growth, you attain the maximum possible size and may make a Strength check (using your increased Strength) to burst any enclosures in the process (see Chapter 7 for rules on breaking objects). If you fail, you are constrained without harm by the materials enclosing you-the spell cannot crush you by increasing your size.  All equipment you wear or carry is similarly enlarged by the spell.  Melee weapons deal more damage. Other magical properties are not affected by this spell. Any enlarged item that leaves your possession (including a projectile or thrown weapon) instantly returns to its normal size. This means that thrown and projectile weapons deal their normal damage. Magical effects that increase size do not stack.","PFRPG Core"
"Rope Trick","transmutation","","","sorcerer/wizard 2, occultist 2, psychic 2, medium 2","1 standard action","V, S, M (powdered corn and a twisted loop of parchment)","0","touch","","","one touched piece of rope from 5 ft. to 30 ft. long","1 hour/level","1","0","none","no","When this spell is cast upon a piece of rope from 5 to 30 feet long, one end of the rope rises into the air until the whole rope hangs perpendicular to the ground, as if affixed at the upper end.  The upper end is, in fact, fastened to an extradimensional space that is outside the usual multiverse of extradimensional spaces.  Creatures in the extradimensional space are hidden, beyond the reach of spells (including divinations), unless those spells work across planes. The space holds as many as eight creatures (of any size). The rope cannot be removed or hidden. The rope can support up to 16,000 pounds. A weight greater than that can pull the rope free.  Spells cannot be cast across the extradimensional interface, nor can area effects cross it. Those in the extradimensional space can see out of it as if a 3-foot-by-5-foot window were centered on the rope. The window is invisible, and even creatures that can see the window can't see through it. Anything inside the extradimensional space drops out when the spell ends. The rope can be climbed by only one person at a time. The rope trick spell enables climbers to reach a normal place if they do not climb all the way to the extradimensional space.","PFRPG Core"
"Rusting Grasp","transmutation","","","druid 4, occultist 4","1 standard action","V, S, DF","0","touch","","","one nonmagical ferrous object (or the volume of the object within 3 ft. of the touched point) or one ferrous creature","see text","0","0","none","no","Any iron or iron alloy item you touch crumbles into rust. If the item is so large that it cannot fit within a 3-foot radius, a 3-footradius volume of the metal is rusted and destroyed. Magic items made of metal are immune to this spell.  You may employ rusting grasp in combat with a successful melee touch attack. Rusting grasp used in this way instantaneously destroys 1d6 points of AC gained from metal armor (to the maximum amount of protection the armor offers) through corrosion.  Weapons in use by an opponent targeted by the spell are more difficult to grasp. You must succeed on a melee touch attack against the weapon. A metal weapon that is hit is destroyed. Striking at an opponent's weapon provokes an attack of opportunity. Also, you must touch the weapon and not the other way around.  Against a ferrous creature, rusting grasp instantaneously deals 3d6 points of damage + 1 per caster level (maximum +15) per successful attack. The spell lasts for 1 round per level, and you can make one melee touch attack per round.","PFRPG Core"
"Sanctuary","abjuration","","","cleric/oracle 1, inquisitor 1, spiritualist 1","1 standard action","V, S, DF","0","touch","","","creature touched","1 round/level","0","0","Will negates","no","Any opponent attempting to directly attack the warded creature, even with a targeted spell, must attempt a Will save. If the save succeeds, the opponent can attack normally and is unaffected by that casting of the spell. If the save fails, the opponent can't follow through with the attack, that part of its action is lost, and it can't directly attack the warded creature for the duration of the spell.  Those not attempting to attack the subject remain unaffected. This spell does not prevent the warded creature from being attacked or affected by area of effect spells. The subject cannot attack without breaking the spell but may use nonattack spells or otherwise act.","PFRPG Core"
"Scare","necromancy","","fear, mind-affecting, emotion","bard 2, sorcerer/wizard 2, witch 2, antipaladin 2, shaman 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2, medium 2","1 standard action","V, S, M (a bone from an undead creature)","0","medium (100 ft. + 10 ft./level)","","","one living creature per three levels, no two of which can be more than 30 ft. apart","1 round/level or 1 round; see text for cause fear","0","0","Will partial","yes","This spell functions like cause fear, except that it causes all targeted creatures of less than 6 HD to become frightened.","PFRPG Core"
"Scintillating Pattern","illusion","pattern","mind-affecting","sorcerer/wizard 8, psychic 8","1 standard action","V, S, M (a crystal prism)","0","close (25 ft. + 5 ft./2 levels)","","colorful lights in a 20-ft.-radius spread","","concentration + 2 rounds","0","0","none","yes","A twisting pattern of coruscating colors weaves through the air, affecting creatures within. The spell affects a total number of HD of creatures equal to your caster level (maximum 20).  Creatures with the fewest HD are affected first, and among creatures with equal HD, those who are closest to the spell's point of origin are affected first. HD that are not sufficient to affect a creature are wasted. The spell affects each subject according to its HD.  6 or less: Unconscious for 1d4 rounds, then stunned for 1d4 rounds, and then confused for 1d4 rounds. (Treat an unconscious result as stunned for nonliving creatures.) 7 to 12: Stunned for 1d4 rounds, then confused for an additional 1d4 rounds.  13 or more: Confused for 1d4 rounds.  Sightless creatures are not affected by scintillating pattern.","PFRPG Core"
"Scorching Ray","evocation","","fire","sorcerer/wizard 2, magus 2, bloodrager 2","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","one or more rays","","instantaneous","0","0","none","yes","You blast your enemies with a searing beam of fire. You may fire one ray, plus one additional ray for every four levels beyond 3rd (to a maximum of three rays at 11th level). Each ray requires a ranged touch attack to hit and deals 4d6 points of fire damage. The rays may be fired at the same or different targets, but all rays must be aimed at targets within 30 feet of each other and fired simultaneously.","PFRPG Core"
"Screen","illusion","glamer","","sorcerer/wizard 8, psychic 8","10 minutes","V, S","0","close (25 ft. + 5 ft./2 levels)","30-ft. cube/level","","","24 hours","0","1","none or Will disbelief (if interacted with); see text","no","This spell creates a powerful protection from scrying and observation. When casting the spell, you dictate what will and will not be observed in the spell's area. The illusion created must be stated in general terms. Once the conditions are set, they cannot be changed. Attempts to scry the area automatically detect the image stated by you with no save allowed. Sight and sound are appropriate to the illusion created. Direct observation may allow a save (as per a normal illusion), if there is cause to disbelieve what is seen. Even entering the area does not cancel the illusion or necessarily allow a save, assuming that hidden beings take care to stay out of the way of those affected by the illusion.","PFRPG Core"
"Scrying","divination","scrying","","bard 3, cleric/oracle 5, druid 4, sorcerer/wizard 4, witch 4, shaman 4, occultist 4, psychic 4, mesmerist 3, spiritualist 5, medium 3","1 hour","V, S, M/DF (a pool of water), F (a silver mirror worth 1,000 gp)","1","see text","","magical sensor","","1 min./level","0","0","Will negates","yes","You can observe a creature at any distance. If the subject succeeds on a Will save, the spell fails. The difficulty of the save depends on how well your knowledge of the subject and what sort of physical connection (if any) you have to that creature. Furthermore, if the subject is on another plane, it gets a +5 bonus on its Will save. Will Save Knowledge M odifier None* +10 Secondhand (you have heard of the subject) +5 Firsthand (you have met the subject) +0 Familiar (you know the subject well) -5 *You must have some sort of connection (see below) to a creature of which you have no knowledge. Will Save Connection M odifier Likeness or picture -2 Possession or garment -4 Body part, lock of hair, bit of nail, etc. -10 If the save fails, you can see and hear the subject and its surroundings (approximately 10 feet in all directions of the subject). If the subject moves, the sensor follows at a speed of up to 150 feet. As with all divination (scrying) spells, the sensor has your full visual acuity, including any magical effects. In addition, the following spells have a 5% chance per caster level of operating through the sensor: detect chaos, detect evil, detect good, detect law, detect magic, and message. If the save succeeds, you can't attempt to scry on that subject again for at least 24 hours.","PFRPG Core"
"Scrying, Greater","divination","scrying","","bard 6, cleric/oracle 7, druid 7, sorcerer/wizard 7, witch 7, shaman 7, occultist 6, psychic 7, mesmerist 6","1 standard action","V, S","0","see text","","magical sensor","","1 hour/level","0","0","Will negates","yes","This spell functions like scrying, except as noted above. Additionally, all of the following spells function reliably through the sensor: detect chaos, detect evil, detect good, detect law, detect magic, message, read magic, and tongues.","PFRPG Core"
