"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Feather Step","transmutation","","","bard 1, druid 1, ranger 1, psychic 1","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","one creature","10 minutes/level","0","0","Fortitude negates (harmless)","yes","For the duration of this spell, the subject ignores the adverse movement effects of difficult terrain, and can even take 5-foot steps in difficult terrain.","APG"
"Feather Step, Mass","transmutation","","","bard 3, druid 3, ranger 3, psychic 3","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","one creature/level, no two of which can be more than 30 ft. apart","10 minutes/level","0","0","Fortitude negates (harmless)","yes","As feather step, except this spell affects multiple creatures.","APG"
"Fester","necromancy","","","inquisitor 3, witch 2","1 standard action","V, S, M (rotted meat)","0","close (25 ft. + 5 ft./2 levels)","","","one living creature","1 round/level or 1 round; see text","0","0","Fortitude partial","yes","Necrotic energy permeates the target, blocking healing abilities.  The subject gains spell resistance equal to 12 + your caster level against effects that restore hit points or grant temporary hit points. In addition, any healing provided by effects that ignore spell resistance (such as fast healing, regeneration, and some spells) are halved. If the target succeeds on a Fortitude saving throw, fester lasts only a single round.","APG"
"Fester, Mass","necromancy","","","inquisitor 6, witch 6","1 standard action","V, S, M (rotted meat)","0","close (25 ft. + 5 ft./2 levels)","","","one creature/level, no two of which can be more than 30 ft. apart","1 round/level or 1 round; see text","0","0","Fortitude partial","yes","This spell functions as fester, except that it affects multiple foes.","APG"
"Fiery Body","transmutation","","fire","sorcerer/wizard 9","1 standard action","V","0","personal","","","you","1 minute/level","0","0","","","This spell transforms your body into living flame. You and your equipment are immune to fire damage. In fact, every time you would normally take damage from fire, you are instead healed of damage at a rate of 1 point per 3 points of damage the fire attack would have normally inflicted. You are immune to blindness, critical hits, ability score damage, deafness, disease, drowning, electricity, poison, stunning, and all spells that affect your physiology or respiration. You take only half damage from acid or electricity. You take 150% as much damage from cold than normal.  You gain a +6 enhancement bonus to your Dexterity score and a fly speed of 40 ft. (perfect maneuverability). Your unarmed attack deals an additional 3d6 points of fire damage, and you are considered armed when making unarmed attacks. Your body burns so brightly that creatures who do not avert their gaze from you are dazzled. Fire spells you cast have their save DCs increased by +1. If you enter water, you are surrounded by a 5-foot radius of steam and bubbles that grant you concealment (50% miss chance) but you take 2d6 points of damage each round you remain in water.","APG"
"Fire Breath","evocation","","fire","alchemist 2, sorcerer/wizard 2, magus 2, bloodrager 2","1 standard action","V, S, M (a chili pepper)","0","15 ft.","cone-shaped burst","","","1 round/level or until discharged; see text","0","0","Reflex half; see text","yes","Up to thrice during this spell's duration, you can belch forth a cone of fire as a standard action. The first cone deals 4d6 points of fire damage to every creature in the area. The second cone of flame deals 2d6 points of fire damage to every creature in the area. The third cone of flame deals 1d6 points of fire damage to every creature in the area. A successful Reflex save halves this damage. After the third cone of flame, the spell ends.","APG"
"Fire of Entanglement","evocation","","","paladin 2","1 swift action","V, S","0","special; see text","","","one creature","1 round/level","0","0","Reflex partial","yes","The next creature you attack using your smite evil class ability is wreathed in flames that impede its movement.  Until the end of the spell's duration, the target is entangled.  If the target starts its turn in a square adjacent to you, it is considered to be entangled to an immobile object (you) and cannot move. A target that saves against this spell is affected for only 1 round.","APG"
"Fire of Judgment","evocation","","","paladin 3","1 swift action","V, S","0","special; see text","","","one creature","1 round/level","0","0","Will partial","yes","After casting this spell, the next creature you attack using your smite evil class ability is engulfed in flames of positive energy. At the start of its turn, the target takes 1d6 points of damage, and takes an additional 1d6 points of damage each time it attacks a creature other than you. If the creature is an outsider with the evil subtype, an evil-aligned dragon, or an undead creature this damage increases to 1d10. With a successful saving throw, a creature is affected by this spell for only 1 round. This damage is divine in nature and bypasses any DR the creature possesses.","APG"
"Fire of Vengeance","evocation","","fire","paladin 4","1 swift action","V, S","0","special; see text","","","one creature","see text","0","0","none","no","After casting this spell, the next creature you attack using your smite evil class ability is engulfed in holy flames that flare up when the target attacks someone other than you. If at any time during the duration of your smite evil effect the target makes an attack that does not include you, it takes 3d8 points of fire damage. Once triggered in this manner, or when your smite evil ability expires, the spell ends.","APG"
"Fire Snake","evocation","","fire","druid 5, sorcerer/wizard 5, magus 5, occultist 5","1 standard action","V, S, M (a snake scale)","0","60 ft.","see text","","","instantaneous","0","0","Reflex half","yes","You create a sinuous line of flames that you may shape as desired. The fire snake affects one 5-foot square per caster level, and each square must be adjacent to the previous square, starting with you. The fire snake may not extend beyond its maximum range. Creatures in the path of the fire snake take 1d6 points of fire damage per caster level (maximum 15d6).","APG"
