Discernir ubicación	Detecta la ubicación exacta de una criatura u objeto y atraviesa la mayoría de protecciones contra localización y escrutinio.
Disfrazarse	Cambia tu apariencia, incluyendo ropa, armadura, armas y equipo. Puedes parecer hasta 1 pie más bajo o más alto, delgado, gordo o intermedio, pero no cambias de tipo de criatura ni obtienes rasgos del nuevo aspecto. Si se usa para crear un disfraz, concede +10 a la prueba de Disfraz; una criatura que interactúe con la ilusión obtiene una tirada de Voluntad para reconocerla.
Desintegración	Un rayo verde sale de tu dedo apuntado. Debes acertar con un ataque de toque a distancia. La criatura alcanzada sufre 2d6 puntos de daño por nivel de lanzador, hasta un máximo de 40d6. Si queda reducida a 0 pg o menos, se desintegra por completo y solo deja un rastro de polvo fino; su equipo no se ve afectado. Contra objetos, el rayo desintegra hasta un cubo de 10 pies de materia no viva. Una criatura u objeto que supere la salvación de Fortaleza sufre solo 5d6 puntos de daño.
Destierro	Expulsa a una criatura extraplanar a su plano natal si falla una salvación de Voluntad. Si tiene éxito, la criatura desaparece de inmediato, aunque existe un 20% de posibilidades de que sea enviada a un plano distinto del suyo.
Disipar caos	Funciona como disipar el mal, salvo que te rodea una energía lawful azul y afecta a criaturas y conjuros caóticos en lugar de malignos.
Disipar el mal	Una energía sagrada blanca te rodea. Te concede +4 de bonificación por deflexión a la CA contra ataques de criaturas malignas. Además, con un ataque de toque cuerpo a cuerpo exitoso contra una criatura extraplanar maligna puedes enviarla de vuelta a su plano natal con una salvación de Voluntad con éxito (se aplica resistencia a conjuros). También puedes disipar automáticamente, con un toque, un conjuro de encantamiento lanzado por una criatura maligna o cualquier conjuro maligno.
Disipar el bien	Funciona como disipar el mal, salvo que te rodea una energía impía oscura y fluctuante, y afecta a criaturas y conjuros buenos en lugar de malignos.
Disipar la ley	Funciona como disipar el mal, salvo que te rodea una energía caótica amarilla y centelleante, y afecta a criaturas y conjuros lawful en lugar de malignos.
Disipar magia	Sirve para terminar un conjuro en curso lanzado sobre una criatura u objeto, suprimir temporalmente las capacidades mágicas de un objeto mágico o contrarrestar el conjuro de otro lanzador. Puedes usarla como disipación dirigida o como contraconjuro. La disipación dirigida hace una sola tirada de disipar contra los conjuros que afecten al objetivo, empezando por el de nivel de lanzador más alto. Un conjuro con duración instantánea no puede disiparse. Si se usa como contraconjuro, debes hacer una tirada de disipar para anular el conjuro del otro lanzador.
Disipar magia mayor	Funciona como disipar magia, pero puede acabar con más de un conjuro sobre el objetivo y también puede afectar a múltiples criaturas. Puede usarse como disipación dirigida, de área o como contraconjuro. En área, afecta a todo lo que se encuentre dentro de una explosión de 20 pies de radio; los objetos mágicos no se ven afectados por la disipación de área. También puede afectar a efectos de área cuyos puntos de origen estén dentro del área o se solapen con ella. Puedes elegir superar automáticamente las tiradas de disipar contra los conjuros que hayas lanzado tú.
Desplazamiento	El objetivo parece estar unos 2 pies fuera de su ubicación real. Obtiene un 50% de posibilidades de fallo, como si tuviera ocultación total. A diferencia de la ocultación total real, no impide que los enemigos lo seleccionen normalmente. Ver lo invisible revela su posición real y anula la probabilidad de fallo.
Arma disruptora	Convierte un arma cuerpo a cuerpo en una amenaza letal para los muertos vivientes. Cualquier muerto viviente con DG igual o inferior a tu nivel de lanzador debe superar una salvación de Voluntad o ser destruido por completo si es golpeado en combate con ese arma. La resistencia a conjuros no se aplica contra este efecto.
Disrupción de muertos vivientes	Diriges un rayo de energía positiva. Debes acertar con un ataque de toque a distancia; si impacta a un muerto viviente, le inflige 1d6 puntos de daño.
Adivinación	Similar a augurio, pero más potente. Puede darte un consejo útil en respuesta a una pregunta sobre un objetivo, evento o actividad concreta que vaya a ocurrir en el plazo de 1 semana. La respuesta puede ser una frase breve, una rima críptica o un presagio. La probabilidad base de una adivinación correcta es 70% + 1% por nivel de lanzador, hasta un máximo de 90%.
Favor divino	Invocas la fuerza y la sabiduría de una deidad para obtener una bonificación de suerte de +1 a las tiradas de ataque y daño con armas por cada tres niveles de lanzador que poseas, hasta un máximo de +3. La bonificación no se aplica al daño de conjuros.
Poder divino	Invocas el poder divino de tu patrono y te imbuyes de fuerza y habilidad en combate. Obtienes una bonificación de suerte de +1 a las tiradas de ataque, daño con armas, pruebas de Fuerza y habilidades basadas en Fuerza por cada tres niveles de lanzador que poseas, hasta un máximo de +6. También obtienes 1 pg temporal por nivel de lanzador. Cada vez que realizas una acción de ataque completo, puedes hacer un ataque adicional con tu bonificación base de ataque máxima.
Dominar animal	Permite encantar al animal objetivo y dirigirlo con órdenes simples como «Ataca», «Corre» y «Trae». Las órdenes suicidas o autodestructivas se ignoran. Se establece un vínculo mental entre tú y la criatura; puedes dirigirla por orden mental silenciosa mientras permanezca a alcance. No necesitas ver al animal para controlarlo.
Dominar monstruo	Funciona como dominar persona, salvo que no está restringido por el tipo de criatura.
Dominar persona	Controlas las acciones de una criatura humanoide mediante un vínculo telepático con su mente. Si compartís idioma, puedes obligarla a actuar como desees dentro de los límites de sus capacidades. Si no hay idioma común, solo puedes dar órdenes básicas como «Ven aquí», «Ve allí», «Lucha» o «Quédate quieto». Concentrándote por completo en el conjuro, puedes recibir percepción completa interpretada por la mente del sujeto. Las órdenes contra su naturaleza le permiten una nueva salvación con +2 de bonificación.
Perdición	Una criatura viva sufre una penalización de -2 a las tiradas de ataque, daño, salvaciones, pruebas y tiradas de habilidad durante 1 minuto por nivel.
Sueño	Puedes enviar un mensaje a través de un sueño o invadirlo con pesadillas. Al usarlo de forma ofensiva, la criatura objetivo puede sufrir daño y agotamiento o fatiga, y puede reconocer al emisor si está familiarizada con él.
Esplendor del águila	Concede una bonificación de mejora de +4 a Carisma.
Esplendor del águila, en masa	Funciona como esplendor del águila, pero afecta a múltiples criaturas.
Terremoto	Provoca un terremoto en un área amplia: abre grietas, derriba estructuras, desestabiliza el terreno y puede derribar criaturas. También puede causar deslizamientos y apagar fuegos.
Cuerpo elemental I	Te transformas en un elemental de tamaño pequeño, obteniendo rasgos elementales, resistencia y formas de movimiento propias del elemento elegido.
Cuerpo elemental II	Te transformas en un elemental de tamaño Mediano, con rasgos elementales más potentes y mejores capacidades físicas y de desplazamiento.
Cuerpo elemental III	Te transformas en un elemental de tamaño Grande, con mejoras adicionales en fuerza, movilidad y rasgos elementales.
Cuerpo elemental IV	Te transformas en un elemental de tamaño Enorme, con las capacidades más poderosas de la serie y rasgos elementales completos.
Enjambre elemental	Convoca un enjambre de elementales que ataca a las criaturas cercanas. El tipo de enjambre depende del elemento elegido.
Resistir elementos	Protege al objetivo del calor o del frío naturales y de condiciones ambientales extremas, como clima severo o terrenos hostiles.
Drenaje de energía	Un rayo de energía negativa inflige niveles negativos al objetivo vivo. Si estos niveles no se eliminan, pueden volverse permanentes tras 24 horas.
Enervación	Un rayo de energía negativa inflige 1d4 niveles negativos al objetivo sin tirada de salvación.
Agrandar persona	Una criatura humanoide aumenta una categoría de tamaño. Obtiene bonificaciones de Fuerza y alcance, pero sufre penalizaciones a Destreza, ataque y CA, además de moverse más lentamente y cargar más peso.
Agrandar persona, en masa	Funciona como agrandar persona, pero afecta a múltiples humanoides.
Enmarañar	Las plantas y raíces de un área se retuercen para dificultar el movimiento. Las criaturas afectadas quedan inmovilizadas o ralentizadas si fallan la salvación.
