name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistance,description,source
Flecha de Ácido,Conjuración,Creación,ácido,"Hechicero 2, Mago 2, Mago 2, Bruto de sangre 2",1 Acción estándar,"V, S, M (hoja de ruibarbo y estómago de víbora), F (un dardo)",0,largo (400 pies + 40 pies por nivel),,una flecha de ácido,,1 ronda + 1 ronda por tres niveles,0,0,ninguno,no,"Una flecha de ácido brota de tu mano y se dirige rápidamente a su objetivo. Debes superar un ataque a distancia para acertar a tu objetivo. La flecha hace 2d4 puntos de daño ácido sin daño de salpicadura. Por cada tres niveles de lanzador que poseas, el ácido, salvo que sea neutralizado, dura otra ronda (hasta un máximo de 6 rondas adicionales en el nivel 18), causando otros 2d4 puntos de daño en cada ronda.",PFRPG Core
Niebla ácida,Conjuración,Creación,ácido,"Hechicero 6, Mago 6, Mago 6, Invocador Desencadenado 6",1 Acción estándar,"V, S, M (guisantes en polvo y una pezuña de animal)",0,Medio (100 pies + 10 pies/nivel),,"La niebla se extiende en un radio de 20 pies, 20 pies de altura",,1 ronda/nivel,0,0,ninguno,no,"La niebla ácida crea una masa abultante de vapores brumosos como el hechizo de niebla sólida. Además de ralentizar a las criaturas y oscurecer la vista, los vapores de este hechizo son muy ácidos. En cada ronda de tu turno, a partir de cuando lanzas el hechizo, la niebla inflige 2d6 puntos de daño ácido a cada criatura y objeto que la contiene.",PFRPG Core
Salpicadura de ácido,Conjuración,Creación,ácido,"Hechicero 0, Mago 0, Invocador 0, Invocador Desencadenado 0, Inquisidor 0, Mago 0",1 Acción estándar,"V, S",0,Cierre (25 pies + 5 pies/2 niveles),,un misil de ácido,,instantáneo,0,0,ninguno,no,Disparas una pequeña esfera de ácido al objetivo. Debes superar un ataque a distancia para acertar a tu objetivo. El orbe inflige 1d3 puntos de daño ácido. Este ácido desaparece tras una ronda.,PFRPG Core
Ayuda,Encantamiento,Compulsión,afectación mental,"Clérigo 2, Oráculo 2, Inquisidor 2, Alquimista 2, Chamán 2, Espiritualista 2, Medium 2",1 Acción estándar,"V, S, DF",0,Toque,,,Ser vivo tocado,1 min./nivel,0,0,ninguno,Sí (inofensivo),"Ayuda otorga al objetivo un bono de moral de +1 en tiradas de ataque y tiradas de salvación contra efectos de miedo, además de puntos de vida temporales equivalentes a 1d8 + nivel de lanzador (hasta un máximo de 1d8+10 puntos de vida temporales al nivel 10 del lanzador).",PFRPG Core
Paseo aéreo,Transmutación,,Aire,"Clérigo 4, Oráculo 4, Druida 4, Alquimista 4, Ocultista 4",1 Acción estándar,"V, S, DF",0,Toque,,,criatura (gigantesca o más pequeña) tocada,10 min./nivel,0,0,ninguno,Sí (inofensivo),"El sujeto puede pisar el aire como si caminara sobre tierra firme. Subir es similar a subir una colina. El ángulo máximo posible hacia arriba o hacia abajo es de 45 grados, a una velocidad igual a la mitad de la velocidad normal del caminante aéreo. Un viento fuerte (21+ millas por hora) puede empujar al sujeto o retenerlo. Al final del giro de una criatura en cada vuelta, el viento soplaba al caminante aéreo 5 pies por cada velocidad de 5 millas por hora. La criatura puede estar sujeta a penalizaciones adicionales en vientos excepcionalmente fuertes o turbulentos, como pérdida de control sobre el movimiento o daño físico por ser sacudida. Si la duración del hechizo expira mientras el sujeto sigue en el aire, la magia falla lentamente. El sujeto flota 60 pies hacia abajo por ronda durante 1d6 rondas. Si toca el suelo en ese tiempo, aterriza de forma segura. Si no, cae el resto de la distancia, recibiendo 1d6 puntos de daño por cada 10 pies de caída. Como disipar un hechizo lo termina efectivamente, el sujeto también desciende de esta manera si el hechizo de caminata aérea es disipado, pero no si es anulado por un campo antimagia. Puedes lanzar caminata aérea en una montura especialmente entrenada para que pueda ser montada por el aire. Puedes entrenar a una montura para moverse con la ayuda del paso aéreo (cuenta como truco; ver habilidad Animal con Manejo) con una semana de trabajo y una tirada DC 25 Animal con Manejo.",PFRPG Core
Alinear Arma,Transmutación,,Ver texto,"Clérigo 2, Oráculo 2, Inquisidor 2",1 Acción estándar,"V, S, DF",0,Toque,,,Arma tocada o 50 proyectiles (todos deben estar juntos en el momento del lanzamiento),1 min./nivel,0,0,"Voluntad niega (inofensivo, objeto)","Sí (inofensivo, objeto)","Alinear arma hace que un arma sea caótica, mala, buena o legal, según prefieras. Un arma alineada puede evitar la reducción de daño de ciertas criaturas. Este hechizo no tiene efecto sobre un arma que ya tiene alineamiento. No puedes lanzar este hechizo sobre un arma natural, como un golpe sin armas. Cuando haces un arma caótica, malvada, buena o legal, arma de alineación es un hechizo caótico, malvado, bueno o legal, respectivamente.",PFRPG Core
Alter yo,Transmutación,polimorfismo,,"Bardo 2, Hechicero 2, Mago 2, Bruja 2, Invocador 2, Invocador Desencadenado 2, Alquimista 2, Mago 2, Chamán 2, Psíquico 2, Mesmerista 2, Medium 2",1 Acción estándar,"V, S, M (una parte de la criatura cuya forma planeas asumir)",0,Vida personal,,,tú,1 min./nivel,1,0,,,"Cuando lanzas este hechizo, puedes adoptar la forma de cualquier criatura Pequeña o Mediana de tipo humanoide. Si la forma que asumes tiene alguna de las siguientes habilidades, obtienes la habilidad lista: visión en la oscuridad a 60 pies, visión en poca luz, olfato y nadar 30 pies. Criatura pequeña: Si adoptas la forma de un humanoide pequeño, obtienes un bono de tamaño +2 en tu Destreza. Criatura Media: Si la forma que adoptas es la de un humanoide Medio, obtienes un bono de tamaño +2 a tu Fuerza.",PFRPG Core
Alarma,Abjuración,,,"Bardo 1, Explorador 1, Hechicero 1, Mago 1, Invocador 1, Invocador Desencadenado 1, Inquisidor 1, Ocultista 1, Psíquico 1, Espiritualista 1",1 Acción estándar,"V, S, F/DF (una campanita diminuta y un trozo de alambre plateado muy fino)",0,Cierre (25 pies + 5 pies/2 niveles),Emanación de radio de 20 pies centrada en un punto del espacio,,,2 horas/nivel,1,0,ninguno,no,"La alarma crea una barrera sutil en un área que elijas. Una vez activado el efecto del hechizo, a partir de entonces suena una alarma mental o audible cada vez que una criatura de tamaño Pequeño o mayor entra en el área protegida o la toca. Una criatura que pronuncia la contraseña (determinada por ti en el momento del lanzamiento) no activa la alarma. Decides en el momento de lanzar si la alarma será mental o audible. Alarma mental: Una alarma mental te alerta a ti (y solo a ti) siempre que permanezcas a menos de 1 milla del área protegida. Notas un único ""ping"" mental que te despierta del sueño normal pero que no altera la concentración. Un hechizo de silencio no tiene efecto sobre una alarma mental. Alarma audible: Una alarma audible produce el sonido de una campana de mano, y cualquiera que esté a menos de 60 pies del área protegida puede oírla claramente. Reduce la distancia en 10 pies para cada puerta cerrada interpuesta y en 20 pies para cada pared interpuesta grande. En condiciones tranquilas, el zumbido se puede oír débilmente hasta a 180 pies de distancia. El sonido dura 1 ronda. Las criaturas dentro de un hechizo de silencio no pueden oír el tintineo. Las criaturas etéreas o astrales no activan la alarma. La alarma puede hacerse permanente con un hechizo de permanencia.",PFRPG Core
Analizar el dweomer,Adivinación,,,"Bardo 6, Hechicero 6, Mago 6, Bruja 6, Alquimista 6, Ocultista 6, Psíquico 6, Espiritualista 6",1 Acción estándar,"V, S, F (una lente de rubí y oro valorada en 1.500 gp)",1,Cierre (25 pies + 5 pies/2 niveles),,,un objeto o criatura por nivel de lanzador,1 ronda/nivel,1,0,ninguno o Will niega; Ver texto,no,"Puedes observar auras mágicas. En cada ronda, puedes examinar una sola criatura u objeto que puedas ver como una acción libre. En el caso de un objeto mágico, aprendes sus funciones (incluyendo cualquier efecto de maldición), cómo activarlas (si corresponde) y cuántas cargas quedan (si usa cargas). En el caso de un objeto o criatura con hechizos activos lanzados sobre él, aprendes cada conjuro, su efecto y su nivel de lanzador. Un objeto atendido puede intentar una salvación de Voluntad para resistir este efecto si su portador así lo desea. Si la tirada tiene éxito, no aprendes nada sobre el objeto salvo lo que puedes discernir al mirarlo. Un objeto que hace su salvación no puede verse afectado por ningún otro hechizo de análisis de dweomer durante 24 horas. El dweomer de análisis no funciona cuando se usa sobre un artefacto.",PFRPG Core
Crecimiento animal,Transmutación,,,"Druida 5, Explorador 4, Hechicero 5, Mago 5, chamán 5",1 Acción estándar,"V, S",0,Medio (100 pies + 10 pies/nivel),,,un animal (gigantesco o más pequeño),1 min./nivel,0,0,La fortaleza anula,Sí,"El animal objetivo crece hasta el doble de su tamaño normal y ocho veces su peso normal. Esta alteración cambia la categoría de tamaño del animal a la siguiente más grande, le otorga un bono de tamaño +8 a Fuerza y un bono de tamaño +4 a Constitución (y por tanto 2 puntos de vida extra por HD), e impone una penalización de tamaño de -2 a Destreza. El bono de armadura natural existente de la criatura aumenta en 2. El cambio de tamaño también afecta al modificador del animal a la CA, las tiradas de ataque y su daño base. El espacio y el alcance del animal cambian según el nuevo tamaño, pero su velocidad no cambia. Si no hay espacio suficiente para el crecimiento deseado, la criatura alcanza el tamaño máximo posible y puede realizar una tirada de Fuerza (usando su aumento de Fuerza) para romper cualquier recinto en el proceso. Si falla, está restringido sin daño por los materiales que lo encierran: el hechizo no puede usarse para aplastar a una criatura aumentando su tamaño. Todo el equipo que lleva o lleva el animal se agranda de forma similar con el hechizo, aunque este cambio no afecta las propiedades mágicas de dicho equipo. Cualquier objeto agrandado que salga de la posesión de la criatura agrandada vuelve instantáneamente a su tamaño normal. El hechizo no otorga ningún medio de control sobre un animal agrandado. Múltiples efectos mágicos que aumentan el tamaño no se acumulan.",PFRPG Core
